date,municipality,consumption_kwh,production_mlr_prediction,production_mlr_residual_kwh
2020-12-29,Bagumbayan,33740.87,33227.40545911643,513.4645408835713
2020-12-30,Bagumbayan,31056.29,31313.143630316816,-256.8536303168148
2020-12-31,Bagumbayan,31955.48,28891.4789294925,3064.0010705075
2021-01-01,Bagumbayan,33025.29,29695.30774389231,3329.982256107691
2021-01-02,Bagumbayan,32332.72,33639.926706522485,-1307.2067065224837
2021-01-03,Bagumbayan,31397.3,33004.02781149796,-1606.72781149796
2021-01-04,Bagumbayan,34591.48,37248.17442431301,-2656.6944243130056
2021-01-05,Bagumbayan,34083.81,32238.17277817998,1845.6372218200195
2021-01-06,Bagumbayan,33277.32,33621.08211832881,-343.7621183288138
2021-01-07,Bagumbayan,33571.26,34782.19188004614,-1210.9318800461406
2021-01-08,Bagumbayan,33135.52,32057.615891640577,1077.9041083594202
2021-01-09,Bagumbayan,32616.88,33092.20620700584,-475.3262070058372
2021-01-10,Bagumbayan,31080.57,30615.569713779027,465.00028622097307
2021-01-11,Bagumbayan,33274.55,34662.955191591376,-1388.4051915913733
2021-01-12,Bagumbayan,34802.19,35989.325418324894,-1187.1354183248914
2021-01-13,Bagumbayan,34399.58,32898.24881512151,1501.3311848784942
2021-01-14,Bagumbayan,35293.74,34652.47231029903,641.267689700966
2021-01-15,Bagumbayan,35852.79,33204.048351901416,2648.741648098585
2021-01-16,Bagumbayan,34647.61,34092.7346578215,554.8753421785004
2021-01-17,Bagumbayan,34007.44,33126.50442254347,880.9355774565338
2021-01-18,Bagumbayan,36926.35,38128.38258569905,-1202.032585699053
2021-01-19,Bagumbayan,36981.74,37740.70071923695,-758.9607192369513
2021-01-20,Bagumbayan,36925.82,37607.32041876572,-681.5004187657178
2021-01-21,Bagumbayan,35814.07,35531.93429678008,282.135703219923
2021-01-22,Bagumbayan,35583.22,34663.683588003674,919.5364119963269
2021-01-23,Bagumbayan,35485.39,34968.96954179286,516.4204582071397
